t,led,rgb
0.303170083333333,0,#ff0000
0.303200083333333,1,#ff0000
0.303230083333333,2,#ff0000
0.303260083333333,3,#ff0000
0.303290166666667,4,#ff0000
0.303320166666667,5,#ff0000
0.303350166666667,6,#ff0000
0.303380166666667,7,#000000
0.303410166666667,8,#000000
0.303440250000000,9,#000000
0.303470250000000,10,#000000
0.303500250000000,11,#000000
0.303530250000000,12,#000000
0.353621666666667,0,#ff0000
0.353651666666667,1,#ff0000
0.353681666666667,2,#ff0000
0.353711666666667,3,#ff0000
0.353741666666667,4,#ff0000
0.353771750000000,5,#ff0000
0.353801750000000,6,#ff0000
0.353831750000000,7,#ff0000
0.353861750000000,8,#000000
0.353891750000000,9,#000000
0.353921833333333,10,#000000
0.353951833333333,11,#000000
0.353981833333333,12,#000000
0.404070416666667,0,#ff0000
0.404100416666667,1,#ff0000
0.404130416666667,2,#ff0000
0.404160416666667,3,#ff0000
0.404190500000000,4,#ff0000
0.404220500000000,5,#ff0000
0.404250500000000,6,#ff0000
0.404280500000000,7,#ff0000
0.404310500000000,8,#ff0000
0.404340583333333,9,#000000
0.404370583333333,10,#000000
0.404400583333333,11,#000000
0.404430583333333,12,#000000
0.454515916666667,0,#ff0000
0.454545916666667,1,#ff0000
0.454575916666667,2,#ff0000
0.454605916666667,3,#ff0000
0.454636000000000,4,#ff0000
0.454666000000000,5,#ff0000
0.454696000000000,6,#ff0000
0.454726000000000,7,#ff0000
0.454756000000000,8,#ff0000
0.454786083333333,9,#ff0000
0.454816083333333,10,#000000
0.454846083333333,11,#000000
0.454876083333333,12,#000000
0.504973416666667,0,#ff0000
0.505003416666667,1,#ff0000
0.505033416666667,2,#ff0000
0.505063500000000,3,#ff0000
0.505093500000000,4,#ff0000
0.505123500000000,5,#ff0000
0.505153500000000,6,#ff0000
0.505183500000000,7,#ff0000
0.505213583333333,8,#ff0000
0.505243583333333,9,#ff0000
0.505273583333333,10,#ff0000
0.505303583333333,11,#000000
0.505333583333333,12,#000000
0.555428583333333,0,#ff0000
0.555458583333333,1,#ff0000
0.555488583333333,2,#ff0000
0.555518583333333,3,#ff0000
0.555548583333333,4,#ff0000
0.555578666666667,5,#ff0000
0.555608666666667,6,#ff0000
0.555638666666667,7,#ff0000
0.555668666666667,8,#ff0000
0.555698666666667,9,#ff0000
0.555728750000000,10,#ff0000
0.555758750000000,11,#ff0000
0.555788750000000,12,#000000
0.605877750000000,0,#ff0000
0.605907750000000,1,#ff0000
0.605937750000000,2,#ff0000
0.605967833333333,3,#ff0000
0.605997833333333,4,#ff0000
0.606027833333333,5,#ff0000
0.606057833333333,6,#ff0000
0.606087833333333,7,#ff0000
0.606117833333333,8,#ff0000
0.606147916666667,9,#ff0000
0.606177916666667,10,#ff0000
0.606207916666667,11,#ff0000
0.606237916666667,12,#ff0000
0.656333166666667,0,#00ff00
0.656362666666667,1,#ff0000
0.656392750000000,2,#ff0000
0.656422750000000,3,#ff0000
0.656452750000000,4,#ff0000
0.656482750000000,5,#ff0000
0.656512750000000,6,#ff0000
0.656542833333333,7,#ff0000
0.656572833333333,8,#ff0000
0.656602833333333,9,#ff0000
0.656632833333333,10,#ff0000
0.656662833333333,11,#ff0000
0.656692916666667,12,#ff0000
0.706790666666667,0,#00ff00
0.706820750000000,1,#00ff00
0.706850250000000,2,#ff0000
0.706880250000000,3,#ff0000
0.706910250000000,4,#ff0000
0.706940250000000,5,#ff0000
0.706970333333333,6,#ff0000
0.707000333333333,7,#ff0000
0.707030333333333,8,#ff0000
0.707060333333333,9,#ff0000
0.707090333333333,10,#ff0000
0.707120416666667,11,#ff0000
0.707150416666667,12,#ff0000
0.757245916666667,0,#00ff00
0.757275916666667,1,#00ff00
0.757305916666667,2,#00ff00
0.757335416666667,3,#ff0000
0.757365500000000,4,#ff0000
0.757395500000000,5,#ff0000
0.757425500000000,6,#ff0000
0.757455500000000,7,#ff0000
0.757485500000000,8,#ff0000
0.757515583333333,9,#ff0000
0.757545583333333,10,#ff0000
0.757575583333333,11,#ff0000
0.757605583333333,12,#ff0000
0.807694666666667,0,#00ff00
0.807724666666667,1,#00ff00
0.807754666666667,2,#00ff00
0.807784750000000,3,#00ff00
0.807814250000000,4,#ff0000
0.807844250000000,5,#ff0000
0.807874250000000,6,#ff0000
0.807904250000000,7,#ff0000
0.807934250000000,8,#ff0000
0.807964333333333,9,#ff0000
0.807994333333333,10,#ff0000
0.808024333333333,11,#ff0000
0.808054333333333,12,#ff0000
0.858144583333333,0,#00ff00
0.858174583333333,1,#00ff00
0.858204583333333,2,#00ff00
0.858234583333333,3,#00ff00
0.858264583333333,4,#00ff00
0.858294083333333,5,#ff0000
0.858324166666667,6,#ff0000
0.858354166666667,7,#ff0000
0.858384166666667,8,#ff0000
0.858414166666667,9,#ff0000
0.858444166666667,10,#ff0000
0.858474250000000,11,#ff0000
0.858504250000000,12,#ff0000
0.908598083333333,0,#00ff00
0.908628083333333,1,#00ff00
0.908658083333333,2,#00ff00
0.908688083333333,3,#00ff00
0.908718083333333,4,#00ff00
0.908748166666667,5,#00ff00
0.908777666666667,6,#ff0000
0.908807666666667,7,#ff0000
0.908837666666667,8,#ff0000
0.908867666666667,9,#ff0000
0.908897750000000,10,#ff0000
0.908927750000000,11,#ff0000
0.908957750000000,12,#ff0000
0.959054500000000,0,#00ff00
0.959084500000000,1,#00ff00
0.959114500000000,2,#00ff00
0.959144583333333,3,#00ff00
0.959174583333333,4,#00ff00
0.959204583333333,5,#00ff00
0.959234583333333,6,#00ff00
0.959264083333333,7,#ff0000
0.959294166666667,8,#ff0000
0.959324166666667,9,#ff0000
0.959354166666667,10,#ff0000
0.959384166666667,11,#ff0000
0.959414166666667,12,#ff0000
1.009503250000000,0,#00ff00
1.009533250000000,1,#00ff00
1.009563333333333,2,#00ff00
1.009593333333333,3,#00ff00
1.009623333333333,4,#00ff00
1.009653333333333,5,#00ff00
1.009683333333333,6,#00ff00
1.009713416666667,7,#00ff00
1.009742916666667,8,#ff0000
1.009772916666667,9,#ff0000
1.009802916666667,10,#ff0000
1.009832916666667,11,#ff0000
1.009862916666667,12,#ff0000
1.059951500000000,0,#00ff00
1.059981500000000,1,#00ff00
1.060011583333333,2,#00ff00
1.060041583333333,3,#00ff00
1.060071583333333,4,#00ff00
1.060101583333333,5,#00ff00
1.060131583333333,6,#00ff00
1.060161666666667,7,#00ff00
1.060191666666667,8,#00ff00
1.060221166666667,9,#ff0000
1.060251166666667,10,#ff0000
1.060281166666667,11,#ff0000
1.060311250000000,12,#ff0000
1.110397000000000,0,#00ff00
1.110427083333333,1,#00ff00
1.110457083333333,2,#00ff00
1.110487083333333,3,#00ff00
1.110517083333333,4,#00ff00
1.110547083333333,5,#00ff00
1.110577083333333,6,#00ff00
1.110607166666667,7,#00ff00
1.110637166666667,8,#00ff00
1.110667166666667,9,#00ff00
1.110696666666667,10,#ff0000
1.110726666666667,11,#ff0000
1.110756750000000,12,#ff0000
1.160852500000000,0,#00ff00
1.160882500000000,1,#00ff00
1.160912500000000,2,#00ff00
1.160942500000000,3,#00ff00
1.160972583333333,4,#00ff00
1.161002583333333,5,#00ff00
1.161032583333333,6,#00ff00
1.161062583333333,7,#00ff00
1.161092583333333,8,#00ff00
1.161122583333333,9,#00ff00
1.161152666666667,10,#00ff00
1.161182166666667,11,#ff0000
1.161212166666667,12,#ff0000
1.211301333333333,0,#00ff00
1.211331416666667,1,#00ff00
1.211361416666667,2,#00ff00
1.211391416666667,3,#00ff00
1.211421416666667,4,#00ff00
1.211451416666667,5,#00ff00
1.211481416666667,6,#00ff00
1.211511500000000,7,#00ff00
1.211541500000000,8,#00ff00
1.211571500000000,9,#00ff00
1.211601500000000,10,#00ff00
1.211631500000000,11,#00ff00
1.211661083333333,12,#ff0000
1.261746833333333,0,#00ff00
1.261776916666667,1,#00ff00
1.261806916666667,2,#00ff00
1.261836916666667,3,#00ff00
1.261866916666667,4,#00ff00
1.261896916666667,5,#00ff00
1.261927000000000,6,#00ff00
1.261957000000000,7,#00ff00
1.261987000000000,8,#00ff00
1.262017000000000,9,#00ff00
1.262047000000000,10,#00ff00
1.262077083333333,11,#00ff00
1.262107083333333,12,#00ff00
1.312201666666667,0,#0000ff
1.312232250000000,1,#00ff00
1.312262250000000,2,#00ff00
1.312292250000000,3,#00ff00
1.312322250000000,4,#00ff00
1.312352250000000,5,#00ff00
1.312382250000000,6,#00ff00
1.312412333333333,7,#00ff00
1.312442333333333,8,#00ff00
1.312472333333333,9,#00ff00
1.312502333333333,10,#00ff00
1.312532333333333,11,#00ff00
1.312562416666667,12,#00ff00
1.362657833333333,0,#0000ff
1.362687833333333,1,#0000ff
1.362718333333333,2,#00ff00
1.362748416666667,3,#00ff00
1.362778416666667,4,#00ff00
